Platform,Manufactur,Year,Publisher,NA,EU,JP,Other,Global,Developer
GBA,Nintendo,2004,Nintendo,0.09,0.03,0.0,0.0,0.13,Other
PS2,Sony,2008,Tecmo Koei,0.06,0.05,0.0,0.02,0.13,Omega Force
PSV,Sony,2014,Idea Factory,0.04,0.01,0.06,0.02,0.13,Sting
PS2,Sony,2005,Ubisoft,0.06,0.05,0.0,0.02,0.13,Phoenix Games Studio
PS,Sony,1998,Telstar,0.07,0.05,0.0,0.01,0.13,Other
Wii,Nintendo,2011,Capcom,0.0,0.0,0.13,0.0,0.13,Other
XB,Microsoft,2005,Sega,0.1,0.03,0.0,0.0,0.13,Creative Assembly
PS2,Sony,2001,Take-Two Interactive,0.06,0.05,0.0,0.02,0.13,Syscom
GC,Nintendo,2002,Infogrames,0.1,0.03,0.0,0.0,0.13,Other
DS,Nintendo,2007,505 Games,0.12,0.0,0.0,0.01,0.13,Starfish SD
